[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 92 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 93 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 94 times]
[2019-01-05 00:01:37][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 95 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 96 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 97 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 98 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 99 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 100 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 101 times]
[2019-01-05 00:01:38][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 102 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 103 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 104 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 105 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 106 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 107 times]
[2019-01-05 00:01:39][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 108 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 109 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 110 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 111 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 112 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 113 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 114 times]
[2019-01-05 00:01:40][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 115 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 116 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 117 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 118 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 119 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 120 times]
[2019-01-05 00:01:41][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 121 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 122 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 123 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 124 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 125 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 126 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 127 times]
[2019-01-05 00:01:42][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 128 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 129 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 130 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 131 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 132 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 133 times]
[2019-01-05 00:01:43][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 134 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 135 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 136 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 137 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 138 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 139 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 140 times]
[2019-01-05 00:01:44][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 141 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 142 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 143 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 144 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 145 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 146 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 147 times]
[2019-01-05 00:01:45][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 148 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 149 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 150 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 151 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 152 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 153 times]
[2019-01-05 00:01:46][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 154 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 155 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 156 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 157 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 158 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 159 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 160 times]
[2019-01-05 00:01:47][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 161 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 162 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 163 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 164 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 165 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 166 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 167 times]
[2019-01-05 00:01:48][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 168 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 169 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 170 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 171 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 172 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 173 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 174 times]
[2019-01-05 00:01:49][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 175 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 176 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 177 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 178 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 179 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 180 times]
[2019-01-05 00:01:50][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 181 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 182 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 183 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 184 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 185 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 186 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 187 times]
[2019-01-05 00:01:51][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 188 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 189 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 190 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 191 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 192 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 193 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 194 times]
[2019-01-05 00:01:52][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 195 times]
[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 196 times]
[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 197 times]
[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 198 times]
[2019-01-05 00:01:53][MainThread:14052][task_id:new_logger][tushare_data.py:36][INFO][REACH THE LIMIT, MUST WAIT (90) SECONDS]
